FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;SITIO_TURISTICO;TIPO_VISITANTE;NUMERO_VISITANTES
20260429;2019;1;ENERO;CAJAMARCA;SITIO ARQUEOLÓGICO KUNTUR WASI;TOTAL;311
20260429;2019;1;ENERO;CALLAO;MUSEO DE FORTALEZA DEL REAL FELIPE;NACIONAL;5071
20260429;2019;1;ENERO;CALLAO;MUSEO DE FORTALEZA DEL REAL FELIPE;EXTRANJERO;167
20260429;2019;1;ENERO;CALLAO;MUSEO DE FORTALEZA DEL REAL FELIPE;TOTAL;5238
20260429;2019;1;ENERO;CALLAO;MUSEO DE SITIO SUBMARINO ABTAO;TOTAL;3912
20260429;2019;1;ENERO;CALLAO;"MUSEO NAVAL DEL PERÚ ""CAPITÁN DE NAVÍO JULIO JOSÉ ELÍAS MURGUÍA"" - SEDE CALLAO";NACIONAL;2412
20260429;2019;1;ENERO;CALLAO;"MUSEO NAVAL DEL PERÚ ""CAPITÁN DE NAVÍO JULIO JOSÉ ELÍAS MURGUÍA"" - SEDE CALLAO";EXTRANJERO;181
20260429;2019;1;ENERO;CALLAO;"MUSEO NAVAL DEL PERÚ ""CAPITÁN DE NAVÍO JULIO JOSÉ ELÍAS MURGUÍA"" - SEDE CALLAO";TOTAL;2593
20260429;2019;1;ENERO;CALLAO;RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS - PALOMINO;NACIONAL;1889
20260429;2019;1;ENERO;CALLAO;RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS - PALOMINO;EXTRANJERO;876
20260429;2019;1;ENERO;CALLAO;RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS - PALOMINO;TOTAL;2765
20260429;2019;1;ENERO;CUSCO;CAMINO INKA CHACHABAMBA (KM. 104);NACIONAL;27
20260429;2019;1;ENERO;CUSCO;CAMINO INKA CHACHABAMBA (KM. 104);EXTRANJERO;1087
